trials_2.thisTrialN,trials_2.stepSize,trials_2.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrans,orrientation,key_resp.corr,trials_2.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
58,0.5,1.5,99.66284009999981,100.15747779999947,100.15747779999947,100.16443900000013,100.46281590000035,right,1.5,1,1,0.538879800000359,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
59,0.5,1.5,100.71029429999908,101.20492000000013,101.20492000000013,101.21179479999955,101.50979409999854,left,-1.5,1,1,0.373186100001476,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
60,0.5,1.0,101.58618339999884,102.0860120999987,102.0860120999987,102.0860120999987,102.39126199999919,right,1.0,0,0,0.436123100002078,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
61,0.5,1.5,102.5347157999986,103.02936599999884,103.02936599999884,103.03608229999918,103.33432100000027,right,1.5,1,1,0.7864139000012074,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
62,0.5,1.5,103.83198409999932,104.32689509999909,104.32689509999909,104.33378439999979,104.63155469999947,right,1.5,1,1,0.5954171000012138,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
63,0.5,1.5,104.93004039999869,105.43010729999878,105.43010729999878,105.43010729999878,105.73487639999985,right,1.5,1,1,0.3464144000008673,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
64,0.5,1.0,105.78826599999957,106.28297639999982,106.28297639999982,106.28998839999986,106.58795079999982,right,1.0,1,1,0.5060968000016146,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
65,0.5,1.0,106.80082159999984,107.29589959999976,107.29589959999976,107.30278720000024,107.60079059999953,left,-1.0,0,0,0.3040811000009853,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
66,0.5,1.5,107.60772539999925,108.10724859999937,108.10724859999937,108.10724859999937,108.41245039999922,left,-1.5,1,1,0.8267480000013165,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
67,0.5,1.5,108.94692819999909,109.44748009999967,109.44748009999967,109.44748009999967,109.75156099999913,right,1.5,0,0,0.8470714000013686,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
68,0.5,2.0,110.31149259999984,110.806283599999,110.806283599999,110.81311069999902,111.11112559999856,right,2.0,1,1,0.7340572000011889,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
69,0.5,2.0,111.55315729999893,112.04774589999943,112.04774589999943,112.05462989999978,112.35272749999967,right,2.0,1,1,0.41426290000163135,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
70,0.5,2.0,112.4707486999996,112.97029339999972,112.97029339999972,112.97029339999972,113.27561029999924,left,-2.0,1,1,0.8185876000006829,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
71,0.5,1.5,113.80067489999965,114.29570889999923,114.29570889999923,114.3025179999986,114.60046469999907,left,-1.5,1,1,0.472023000000263,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
72,0.5,1.5,114.78082369999902,115.28033299999879,115.28033299999879,115.28033299999879,115.58574829999998,right,1.5,0,0,0.3390064000013808,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
73,0.5,2.0,115.62763449999875,116.1268330999992,116.1268330999992,116.1268330999992,116.43198049999955,left,-2.0,1,1,0.482171700001345,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
74,0.5,2.0,116.61922479999885,117.1188347999996,117.1188347999996,117.1188347999996,117.42405329999929,right,2.0,0,0,0.3668066000009276,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
75,0.5,2.5,117.49830219999967,117.99315829999978,117.99315829999978,118.00000179999915,118.29792540000017,left,-2.5,1,1,0.45528080000076443,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
76,0.5,2.5,118.4623219999994,118.95735149999928,118.95735149999928,118.96452589999899,119.26282919999903,right,2.5,1,1,0.6161439000006794,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
77,0.5,2.5,119.58159279999927,120.0813693,120.0813693,120.0813693,120.38643419999971,left,-2.5,0,0,0.4871026000000711,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
78,0.5,3.0,120.5805382999988,121.0802507999997,121.0802507999997,121.0802507999997,121.38505489999989,right,3.0,0,0,0.4253855000006297,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
79,0.5,3.5,121.5169079999996,122.01668139999856,122.01668139999856,122.01668139999856,122.32196189999922,right,3.5,0,0,1.4746584000004077,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
80,0.5,4.0,123.50596669999868,124.00085659999968,124.00085659999968,124.00791670000035,124.30606429999898,left,-4.0,1,1,1.0173721999999543,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
